# OpenMATB Scenario: adaptive_automation_pdry12_c1_8min.txt
# Adaptive automation -- condition 1, 8 min continuous
#
# Participant  : PDRY12
# d_final      : 0.8000
# delta        : 0.8000
# Level anchors: LOW=0.0000, MODERATE=0.8000, HIGH=1.6000
# Block order  : L H M H H L H M  (L=LOW M=MODERATE H=HIGH)
# Block split  : 4×HIGH + 2×LOW + 2×MODERATE  (8 blocks total)
# Seed basis   : <participant>|adaptive|<condition>|<block_index>
# Generated by : scripts/generate_adaptive_automation_scenarios.py

0:00:00;labstreaminglayer;start
0:00:00;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:00:00;scheduling;start
0:00:00;communications;voiceidiom;english
0:00:00;communications;voicegender;male
0:00:00;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/block_01/LOW/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:00:00;track;taskupdatetime;38
0:00:00;track;joystickforce;2
0:00:00;resman;tank-a-lossperminute;95
0:00:00;resman;tank-b-lossperminute;95
0:00:00;track;start
0:00:00;sysmon;start
0:00:00;communications;start
0:00:00;resman;start
0:00:11;sysmon;lights-1-failure;True
0:00:18;sysmon;lights-2-failure;True
0:00:22;sysmon;scales-4-failure;True
0:00:30;communications;radioprompt;other
0:00:32;resman;pump-7-state;failure
0:00:37;sysmon;scales-3-failure;True
0:00:42;resman;pump-7-state;off
0:00:45;resman;pump-8-state;failure
0:00:55;resman;pump-8-state;off
0:00:59;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/block_01/LOW/END|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:01:00;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/block_02/HIGH/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:01:00;track;taskupdatetime;13
0:01:00;track;joystickforce;1
0:01:00;resman;tank-a-lossperminute;341
0:01:00;resman;tank-b-lossperminute;341
0:01:03;communications;radioprompt;other
0:01:03;resman;pump-6-state;failure
0:01:04;sysmon;lights-2-failure;True
0:01:07;sysmon;lights-2-failure;True
0:01:07;sysmon;scales-2-failure;True
0:01:13;resman;pump-6-state;off
0:01:13;sysmon;scales-1-failure;True
0:01:15;sysmon;lights-2-failure;True
0:01:16;resman;pump-7-state;failure
0:01:19;sysmon;scales-1-failure;True
0:01:20;sysmon;scales-3-failure;True
0:01:21;sysmon;lights-1-failure;True
0:01:25;sysmon;lights-1-failure;True
0:01:26;resman;pump-7-state;off
0:01:27;sysmon;scales-2-failure;True
0:01:28;resman;pump-8-state;failure
0:01:29;sysmon;scales-3-failure;True
0:01:30;sysmon;lights-1-failure;True
0:01:30;communications;radioprompt;own
0:01:31;sysmon;scales-1-failure;True
0:01:32;sysmon;lights-1-failure;True
0:01:33;sysmon;scales-1-failure;True
0:01:34;sysmon;lights-1-failure;True
0:01:38;resman;pump-8-state;off
0:01:39;sysmon;lights-1-failure;True
0:01:40;sysmon;scales-4-failure;True
0:01:40;sysmon;lights-2-failure;True
0:01:41;resman;pump-2-state;failure
0:01:43;sysmon;lights-2-failure;True
0:01:43;sysmon;scales-4-failure;True
0:01:44;sysmon;lights-2-failure;True
0:01:45;sysmon;scales-4-failure;True
0:01:46;sysmon;lights-1-failure;True
0:01:48;sysmon;scales-3-failure;True
0:01:51;resman;pump-2-state;off
0:01:53;sysmon;scales-2-failure;True
0:01:55;sysmon;scales-3-failure;True
0:01:55;sysmon;lights-2-failure;True
0:01:59;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/block_02/HIGH/END|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:02:00;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/block_03/MODERATE/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:02:00;track;taskupdatetime;25
0:02:00;track;joystickforce;2
0:02:00;resman;tank-a-lossperminute;180
0:02:00;resman;tank-b-lossperminute;180
0:02:07;resman;pump-8-state;failure
0:02:11;communications;radioprompt;own
0:02:11;sysmon;lights-2-failure;True
0:02:14;sysmon;scales-1-failure;True
0:02:17;sysmon;scales-1-failure;True
0:02:17;resman;pump-8-state;off
0:02:27;sysmon;scales-4-failure;True
0:02:28;sysmon;lights-2-failure;True
0:02:30;sysmon;scales-4-failure;True
0:02:31;sysmon;scales-3-failure;True
0:02:32;communications;radioprompt;other
0:02:35;sysmon;lights-1-failure;True
0:02:37;sysmon;lights-2-failure;True
0:02:38;resman;pump-7-state;failure
0:02:48;resman;pump-7-state;off
0:02:48;sysmon;scales-2-failure;True
0:02:52;sysmon;lights-1-failure;True
0:02:54;sysmon;lights-1-failure;True
0:02:59;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/block_03/MODERATE/END|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:03:00;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/block_04/HIGH/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:03:00;track;taskupdatetime;13
0:03:00;track;joystickforce;1
0:03:00;resman;tank-a-lossperminute;341
0:03:00;resman;tank-b-lossperminute;341
0:03:03;sysmon;scales-4-failure;True
0:03:04;resman;pump-5-state;failure
0:03:05;sysmon;scales-4-failure;True
0:03:07;sysmon;scales-2-failure;True
0:03:07;sysmon;lights-2-failure;True
0:03:08;communications;radioprompt;other
0:03:08;sysmon;scales-2-failure;True
0:03:09;sysmon;lights-2-failure;True
0:03:11;sysmon;scales-3-failure;True
0:03:12;sysmon;scales-1-failure;True
0:03:14;resman;pump-5-state;off
0:03:16;resman;pump-8-state;failure
0:03:17;sysmon;scales-1-failure;True
0:03:22;sysmon;scales-3-failure;True
0:03:23;sysmon;lights-2-failure;True
0:03:26;resman;pump-8-state;off
0:03:27;sysmon;lights-2-failure;True
0:03:28;sysmon;scales-2-failure;True
0:03:28;communications;radioprompt;own
0:03:30;sysmon;scales-4-failure;True
0:03:31;sysmon;scales-3-failure;True
0:03:31;resman;pump-6-state;failure
0:03:36;sysmon;lights-1-failure;True
0:03:37;sysmon;lights-2-failure;True
0:03:39;sysmon;scales-1-failure;True
0:03:39;sysmon;lights-1-failure;True
0:03:41;resman;pump-6-state;off
0:03:42;sysmon;lights-1-failure;True
0:03:43;resman;pump-7-state;failure
0:03:45;sysmon;lights-2-failure;True
0:03:46;sysmon;lights-1-failure;True
0:03:47;sysmon;scales-3-failure;True
0:03:48;sysmon;lights-1-failure;True
0:03:50;sysmon;lights-1-failure;True
0:03:50;sysmon;scales-2-failure;True
0:03:53;sysmon;lights-1-failure;True
0:03:53;resman;pump-7-state;off
0:03:55;sysmon;lights-2-failure;True
0:03:59;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/block_04/HIGH/END|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:04:00;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/block_05/HIGH/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:04:00;track;taskupdatetime;13
0:04:00;track;joystickforce;1
0:04:00;resman;tank-a-lossperminute;341
0:04:00;resman;tank-b-lossperminute;341
0:04:03;sysmon;lights-1-failure;True
0:04:05;sysmon;lights-1-failure;True
0:04:06;sysmon;scales-3-failure;True
0:04:07;sysmon;lights-2-failure;True
0:04:08;sysmon;scales-3-failure;True
0:04:08;resman;pump-7-state;failure
0:04:09;sysmon;scales-3-failure;True
0:04:11;communications;radioprompt;own
0:04:11;sysmon;scales-4-failure;True
0:04:11;sysmon;lights-2-failure;True
0:04:16;sysmon;lights-1-failure;True
0:04:17;sysmon;scales-3-failure;True
0:04:18;resman;pump-7-state;off
0:04:19;sysmon;lights-1-failure;True
0:04:19;sysmon;scales-2-failure;True
0:04:20;resman;pump-8-state;failure
0:04:23;sysmon;lights-2-failure;True
