# OpenMATB Scenario: adaptive_automation_p005_c1_8min.txt
# Adaptive automation -- condition 1, 8 min continuous
#
# Participant  : P005
# d_final      : 0.3000
# delta        : 0.8000
# Level anchors: LOW=-0.5000, MODERATE=0.3000, HIGH=1.1000
# Block order  : L H M H  (L=LOW M=MODERATE H=HIGH)
# Block split  : 2×HIGH + 1×LOW + 1×MODERATE  (4 blocks total)
# Seed basis   : <participant>|adaptive|<condition>|<block_index>
# Audio events : 8 at 1.00/min, 2 per block, one schedule for both segments
# Threat variants : v6, v4, v2, v1, v3, v5, v6, v5
# Safe variants   : v3, v4, v6, v1, v5, v2, v5, v6
# Generated by : scripts/generate_adaptive_automation_scenarios.py

0:00:00;labstreaminglayer;start
0:00:00;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}
0:00:00;scheduling;start
0:00:00;communications;voiceidiom;english
0:00:00;communications;voicegender;male
0:00:00;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/block_01/LOW/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}|d=-0.5000
0:00:00;track;taskupdatetime;45
0:00:00;track;joystickforce;3
0:00:00;resman;tank-a-lossperminute;64
0:00:00;resman;tank-b-lossperminute;64
0:00:00;track;start
0:00:00;sysmon;start
0:00:00;communications;start
0:00:00;resman;start
0:00:04;sysmon;scales-1-failure;True
0:00:11;communications;radioprompt;other
0:00:18;sysmon;scales-3-failure;True
0:00:21;sysmon;lights-2-failure;True
0:00:26;resman;pump-7-state;failure
0:00:31;communications;radioprompt;other
0:00:36;resman;pump-7-state;off
0:00:44;sysmon;lights-1-failure;True
0:00:50;resman;pump-8-state;failure
0:00:54;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/stress/PLAY|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}|idx=1|asset=single_HIGH_v6_am54_c1300
0:00:54;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/control/PLAY|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}|idx=1|asset=single_LOW_v3_c1120
0:00:54;communications;radioprompt;other
0:01:00;resman;pump-8-state;off
0:01:31;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/stress/PLAY|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}|idx=2|asset=single_HIGH_v4_am47_c1180
0:01:31;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/control/PLAY|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}|idx=2|asset=single_LOW_v4_c1180
0:01:34;communications;radioprompt;other
0:01:40;sysmon;scales-4-failure;True
0:01:53;sysmon;lights-1-failure;True
0:01:59;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/block_01/LOW/END|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}|d=-0.5000
0:02:00;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/block_02/HIGH/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}|d=1.1000
0:02:00;track;taskupdatetime;21
0:02:00;track;joystickforce;2
0:02:00;resman;tank-a-lossperminute;229
0:02:00;resman;tank-b-lossperminute;229
0:02:03;resman;pump-8-state;failure
0:02:03;sysmon;lights-2-failure;True
0:02:04;sysmon;scales-2-failure;True
0:02:05;sysmon;lights-2-failure;True
0:02:06;sysmon;lights-2-failure;True
0:02:08;sysmon;scales-3-failure;True
0:02:11;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/stress/PLAY|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}|idx=3|asset=single_HIGH_v2_am40_c1060
0:02:11;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/control/PLAY|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}|idx=3|asset=single_LOW_v6_c1300
0:02:13;sysmon;scales-1-failure;True
0:02:13;resman;pump-8-state;off
0:02:15;sysmon;lights-1-failure;True
0:02:17;communications;radioprompt;own
0:02:23;resman;pump-2-state;failure
0:02:26;sysmon;scales-4-failure;True
0:02:30;sysmon;lights-1-failure;True
0:02:33;resman;pump-2-state;off
0:02:34;sysmon;lights-2-failure;True
0:02:37;sysmon;scales-4-failure;True
0:02:39;sysmon;lights-1-failure;True
0:02:40;communications;radioprompt;own
0:02:41;sysmon;scales-4-failure;True
0:02:51;sysmon;scales-3-failure;True
0:02:54;sysmon;scales-2-failure;True
0:02:55;sysmon;lights-2-failure;True
0:02:59;resman;pump-5-state;failure
0:02:59;sysmon;scales-1-failure;True
0:03:07;sysmon;scales-4-failure;True
0:03:08;sysmon;scales-3-failure;True
0:03:09;resman;pump-5-state;off
0:03:12;resman;pump-4-state;failure
0:03:12;sysmon;lights-2-failure;True
0:03:15;communications;radioprompt;own
0:03:18;sysmon;scales-1-failure;True
0:03:20;sysmon;lights-1-failure;True
0:03:22;resman;pump-4-state;off
0:03:22;sysmon;lights-1-failure;True
0:03:23;sysmon;scales-2-failure;True
0:03:23;sysmon;lights-1-failure;True
0:03:25;resman;pump-7-state;failure
0:03:29;sysmon;scales-2-failure;True
0:03:31;sysmon;lights-1-failure;True
0:03:34;sysmon;lights-2-failure;True
0:03:35;communications;radioprompt;own
0:03:35;resman;pump-7-state;off
0:03:37;resman;pump-6-state;failure
0:03:38;sysmon;lights-2-failure;True
0:03:38;sysmon;scales-3-failure;True
0:03:39;sysmon;lights-1-failure;True
0:03:45;sysmon;lights-2-failure;True
0:03:47;resman;pump-6-state;off
0:03:50;sysmon;scales-2-failure;True
0:03:54;sysmon;scales-1-failure;True
0:03:57;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/stress/PLAY|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}|idx=4|asset=single_HIGH_v1_am61_c1000
0:03:57;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/control/PLAY|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}|idx=4|asset=single_LOW_v1_c1000
0:03:59;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/block_02/HIGH/END|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}|d=1.1000
0:04:00;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/block_03/MODERATE/START|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}|d=0.3000
0:04:00;track;taskupdatetime;33
0:04:00;track;joystickforce;2
0:04:00;resman;tank-a-lossperminute;121
0:04:00;resman;tank-b-lossperminute;121
0:04:06;communications;radioprompt;other
0:04:08;sysmon;lights-1-failure;True
0:04:23;sysmon;lights-1-failure;True
0:04:30;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/stress/PLAY|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}|idx=5|asset=single_HIGH_v3_am75_c1120
0:04:30;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/control/PLAY|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}|idx=5|asset=single_LOW_v5_c1240
0:04:30;communications;radioprompt;other
0:04:40;resman;pump-8-state;failure
0:04:47;sysmon;scales-2-failure;True
0:04:49;sysmon;scales-2-failure;True
0:04:50;resman;pump-8-state;off
0:04:53;sysmon;scales-1-failure;True
0:04:55;communications;radioprompt;own
0:04:56;sysmon;lights-2-failure;True
0:05:01;resman;pump-2-state;failure
0:05:04;sysmon;lights-1-failure;True
0:05:05;sysmon;scales-4-failure;True
0:05:10;sysmon;scales-1-failure;True
0:05:11;resman;pump-2-state;off
0:05:15;resman;pump-6-state;failure
0:05:19;labstreaminglayer;marker;STUDY/V0/adaptive_automation/1/stress/PLAY|pid=${OPENMATB_PARTICIPANT}|sid=${OPENMATB_SESSION}|idx=6|asset=single_HIGH_v5_am68_c1240
